1727	凛	1
1718	凜	2
213	処罰	2
1284	出場	1
584	出席	1
1791	出演	1
755	出現	1
481	出産	1
1316	出番	1
795	出自	1
692	出荷	1
310	刃物	3
774	分	2
351	刑法	3
1689	列車	1
911	初	2
1440	初日	1
1278	判明	1
1072	判決	1
555	別状	1
575	利用	2
748	制定	1
1538	制裁	1
152	刷新	2
360	削除	2
842	前	5
1485	前人未到	3
1365	前年	1
1527	前後	1
1614	前日	1
1557	前身	1
494	剤	2
480	割	4
78	創	2
1178	創業	1
238	創設	1
1108	力説	1
1226	加入	1
70	加計	11
1699	助言	1
124	努力	1
777	労働	1
1675	効果	1
1363	動き	1
226	動物	3
406	勝ち	1
1650	勝利	1
193	勝算	1
1696	勧め	1
349	化	6
275	北	2
1401	北九州	1
1580	北京	1
281	北朝鮮	2
1130	匹	1
1417	区	1
1461	医	1
73	医学部	3
223	医師	2
933	十分	1
1526	千	1
247	千葉	1
1612	午前	1
772	午後	1
925	半分	1
921	半数	1
1573	卑怯	1
1768	卒業	1
1708	卓球	1
1280	協会	1
203	協業	1
1247	南西	2
423	危惧	1
261	危機	2
961	卵	1
31	原	2
1662	原付	1
1171	原因	1
1558	原爆	2
348	厳罰	3
1474	参加	2
353	参院	2
17	友人	1
1695	反対	1
1190	反発	2
1828	反響	1
1473	収録	2
568	取り締まり	1
483	取得	1
1476	取材	2
495	取締	1
1693	取締役	1
1094	受動	1
303	受賞	1
979	口語	1
783	古座川	1
356	可決	2
709	可能	8
1255	台	1
1637	右舷	1
1800	号	1
128	司会	1
1262	各国	1
606	各地	1
273	合意	3
845	吉岡	1
1275	吉田	1
1489	同僚	1
1069	同村	1
1486	同社	1
1419	同級生	1
796	名誉	1
1817	否定	1
953	含み	1
1504	周年	1
554	命	1
1776	命取り	1
782	和歌山	1
1181	員	5
1726	唐突	1
612	商店	1
1236	商船	1
222	問題	14
344	啓	1
1055	喜び	1
1095	喫煙	1
678	営業	1
765	四	2
409	四角	1
100	回	9
262	回避	1
1751	因習	1
1811	困惑	1
1702	困難	1
1475	囲み	2
397	固定	1
708	国	3
1213	国交	1
938	国会	5
186	国内	4
1731	国境	1
1290	国家	4
862	国対	1
1335	国後島	1
705	国防省	1
505	国防総省	1
265	圏	1
1436	圏内	1
1743	園	1
981	園児	2
1511	土壌	1
1361	土産	1
941	圧力	1
1783	圧巻	1
1402	在住	1
987	圭	1
931	地	3
1570	地元	3
1138	地図	1
621	地域	2
77	地方	2
543	地裁	2
1004	地質	1
30	地雷	1
929	地震	1
1416	垂水	1
1251	基地	1
1319	堅実	1
14	報告	2
722	報道	5
729	場	3
1459	場合	1
608	場所	1
21	塁	1
1367	増	1
627	増加	3
504	増派	1
1097	増進	1
535	墜落	1
140	壁	1
475	声	5
342	声優	1
1814	声明	1
1332	売り上げ	1
696	売れ行き	1
155	変更	2
759	夏	2
1343	外務省	1
146	外壁	1
1460	外来	1
959	外相	1
872	外野	1
455	多数	1
106	夢	2
540	大会	1
1431	大切	1
1424	大勢	1
990	大口	1
615	大型	1
995	大学	1
363	大幅	2
411	大手	2
807	大河	1
1215	大統領	3
385	大臣	1
717	大衆	1
1199	大谷	1
299	大賞	1
824	大阪	4
1519	天ぷら	1
784	天然記念物	1
1643	太	1
1203	太もも	1
161	太字	1
478	夫	3
421	失敗	1
1086	失言	1
639	契約	2
35	奮闘	1
1196	女優	4
1413	女子	1
325	女性	5
1762	女王	1
242	妻	5
839	始球	1
355	委員	3
1841	姫路	1
563	姿	5
1543	姿勢	1
1494	娘	1
1826	嫁	1
1032	子	2
809	子役	1
556	子鹿	1
1758	存在	1
1009	学	1
402	学び	1
